	description	name
0	Ivysaur is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Seed Pokémon.	Ivysaur
1	"Venusaur is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Seed Pokémon.
Venusaur has a Mega Evolution, available from X & Y onwards."	Venusaur
2	Charmander is a Fire type Pokémon introduced in Generation 1. It is known as the Lizard Pokémon.	Charmander
3	Charmeleon is a Fire type Pokémon introduced in Generation 1. It is known as the Flame Pokémon.	Charmeleon
4	"Charizard is a Fire/Flying type Pokémon introduced in Generation 1. It is known as the Flame Pokémon.
Charizard has two Mega Evolutions, available from X & Y onwards."	Charizard
5	Squirtle is a Water type Pokémon introduced in Generation 1. It is known as the Tiny Turtle Pokémon.	Squirtle
6	Wartortle is a Water type Pokémon introduced in Generation 1. It is known as the Turtle Pokémon.	Wartortle
7	"Blastoise is a Water type Pokémon introduced in Generation 1. It is known as the Shellfish Pokémon.
Blastoise has a Mega Evolution, available from X & Y onwards."	Blastoise
8	Caterpie is a Bug type Pokémon introduced in Generation 1. It is known as the Worm Pokémon.	Caterpie
9	Metapod is a Bug type Pokémon introduced in Generation 1. It is known as the Cocoon Pokémon.	Metapod
10	Butterfree is a Bug/Flying type Pokémon introduced in Generation 1. It is known as the Butterfly Pokémon.	Butterfree
11	Weedle is a Bug/Poison type Pokémon introduced in Generation 1. It is known as the Hairy Bug Pokémon.	Weedle
12	Kakuna is a Bug/Poison type Pokémon introduced in Generation 1. It is known as the Cocoon Pokémon.	Kakuna
13	"Beedrill is a Bug/Poison type Pokémon introduced in Generation 1. It is known as the Poison Bee Pokémon.
Beedrill has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards."	Beedrill
14	Pidgey is a Normal/Flying type Pokémon introduced in Generation 1. It is known as the Tiny Bird Pokémon.	Pidgey
15	Pidgeotto is a Normal/Flying type Pokémon introduced in Generation 1. It is known as the Bird Pokémon.	Pidgeotto
16	"Pidgeot is a Normal/Flying type Pokémon introduced in Generation 1. It is known as the Bird Pokémon.
Pidgeot has a Mega Evolution, available from Omega Ruby & Alpha Sapphire onwards."	Pidgeot
17	"Rattata is a Normal type Pokémon introduced in Generation 1. It is known as the Mouse Pokémon.
Rattata has a new Alolan form introduced in Pokémon Sun/Moon."	Rattata
18	Raticate is a Normal type Pokémon introduced in Generation 1. It is known as the Mouse Pokémon.	Raticate
19	Spearow is a Normal/Flying type Pokémon introduced in Generation 1. It is known as the Tiny Bird Pokémon.	Spearow
20	Fearow is a Normal/Flying type Pokémon introduced in Generation 1. It is known as the Beak Pokémon.	Fearow
21	Ekans is a Poison type Pokémon introduced in Generation 1. It is known as the Snake Pokémon.	Ekans
22	Arbok is a Poison type Pokémon introduced in Generation 1. It is known as the Cobra Pokémon.	Arbok
23	Pikachu is an Electric type Pokémon introduced in Generation 1. It is known as the Mouse Pokémon.	Pikachu
24	"Raichu is an Electric type Pokémon introduced in Generation 1. It is known as the Mouse Pokémon.
Raichu has a new Alolan form introduced in Pokémon Sun/Moon."	Raichu
25	"Sandshrew is a Ground type Pokémon introduced in Generation 1. It is known as the Mouse Pokémon.
Sandshrew has a new Alolan form introduced in Pokémon Sun/Moon."	Sandshrew
26	"Sandslash is a Ground type Pokémon introduced in Generation 1. It is known as the Mouse Pokémon.
Sandslash has a new Alolan form introduced in Pokémon Sun/Moon."	Sandslash
27	Nidoran♀ is a Poison type Pokémon introduced in Generation 1. It is known as the Poison Pin Pokémon.	Nidoran♀
28	Nidorina is a Poison type Pokémon introduced in Generation 1. It is known as the Poison Pin Pokémon.	Nidorina
29	Nidoqueen is a Poison/Ground type Pokémon introduced in Generation 1. It is known as the Drill Pokémon.	Nidoqueen
30	Nidoran♂ is a Poison type Pokémon introduced in Generation 1. It is known as the Poison Pin Pokémon.	Nidoran♂
31	Nidorino is a Poison type Pokémon introduced in Generation 1. It is known as the Poison Pin Pokémon.	Nidorino
32	Nidoking is a Poison/Ground type Pokémon introduced in Generation 1. It is known as the Drill Pokémon.	Nidoking
33	Clefairy is a Fairy type Pokémon introduced in Generation 1. It is known as the Fairy Pokémon.	Clefairy
34	Clefable is a Fairy type Pokémon introduced in Generation 1. It is known as the Fairy Pokémon.	Clefable
35	"Vulpix is a Fire type Pokémon introduced in Generation 1. It is known as the Fox Pokémon.
Vulpix has a new Alolan form introduced in Pokémon Sun/Moon."	Vulpix
36	Ninetales is a Fire type Pokémon introduced in Generation 1. It is known as the Fox Pokémon.	Ninetales
37	Jigglypuff is a Normal/Fairy type Pokémon introduced in Generation 1. It is known as the Balloon Pokémon.	Jigglypuff
38	Wigglytuff is a Normal/Fairy type Pokémon introduced in Generation 1. It is known as the Balloon Pokémon.	Wigglytuff
39	Zubat is a Poison/Flying type Pokémon introduced in Generation 1. It is known as the Bat Pokémon.	Zubat
40	Golbat is a Poison/Flying type Pokémon introduced in Generation 1. It is known as the Bat Pokémon.	Golbat
41	Oddish is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Weed Pokémon.	Oddish
42	Gloom is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Weed Pokémon.	Gloom
43	Vileplume is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Flower Pokémon.	Vileplume
44	Paras is a Bug/Grass type Pokémon introduced in Generation 1. It is known as the Mushroom Pokémon.	Paras
45	Parasect is a Bug/Grass type Pokémon introduced in Generation 1. It is known as the Mushroom Pokémon.	Parasect
46	Venonat is a Bug/Poison type Pokémon introduced in Generation 1. It is known as the Insect Pokémon.	Venonat
47	Venomoth is a Bug/Poison type Pokémon introduced in Generation 1. It is known as the Poison Moth Pokémon.	Venomoth
48	Diglett is a Ground type Pokémon introduced in Generation 1. It is known as the Mole Pokémon.	Diglett
49	Dugtrio is a Ground type Pokémon introduced in Generation 1. It is known as the Mole Pokémon.	Dugtrio
50	"Meowth is a Normal type Pokémon introduced in Generation 1. It is known as the Scratch Cat Pokémon.
Meowth has a new Alolan form introduced in Pokémon Sun/Moon."	Meowth
51	"Persian is a Normal type Pokémon introduced in Generation 1. It is known as the Classy Cat Pokémon.
Persian has a new Alolan form introduced in Pokémon Sun/Moon."	Persian
52	Psyduck is a Water type Pokémon introduced in Generation 1. It is known as the Duck Pokémon.	Psyduck
53	Golduck is a Water type Pokémon introduced in Generation 1. It is known as the Duck Pokémon.	Golduck
54	Mankey is a Fighting type Pokémon introduced in Generation 1. It is known as the Pig Monkey Pokémon.	Mankey
55	Primeape is a Fighting type Pokémon introduced in Generation 1. It is known as the Pig Monkey Pokémon.	Primeape
56	Growlithe is a Fire type Pokémon introduced in Generation 1. It is known as the Puppy Pokémon.	Growlithe
57	Arcanine is a Fire type Pokémon introduced in Generation 1. It is known as the Legendary Pokémon.	Arcanine
