	Abilities	Height	Local №	National №	Species	Type	Weight	name
0	1. OvergrowChlorophyll (hidden ability)	3′03″ (1.0 m)	002 (Red/Blue/Yellow)227 (Gold/Silver/Crystal)002 (FireRed/LeafGreen)232 (HeartGold/SoulSilver)081 (X/Y — Central Kalos)	002	Seed Pokémon	Grass Poison	28.7 lbs (13.0 kg)	Ivysaur
1	1. OvergrowChlorophyll (hidden ability)	6′07″ (2.0 m)	003 (Red/Blue/Yellow)228 (Gold/Silver/Crystal)003 (FireRed/LeafGreen)233 (HeartGold/SoulSilver)082 (X/Y — Central Kalos)	003	Seed Pokémon	Grass Poison	220.5 lbs (100.0 kg)	Venusaur
2	1. BlazeSolar Power (hidden ability)	2′00″ (0.6 m)	004 (Red/Blue/Yellow)229 (Gold/Silver/Crystal)004 (FireRed/LeafGreen)234 (HeartGold/SoulSilver)083 (X/Y — Central Kalos)	004	Lizard Pokémon	Fire	18.7 lbs (8.5 kg)	Charmander
3	1. BlazeSolar Power (hidden ability)	3′07″ (1.1 m)	005 (Red/Blue/Yellow)230 (Gold/Silver/Crystal)005 (FireRed/LeafGreen)235 (HeartGold/SoulSilver)084 (X/Y — Central Kalos)	005	Flame Pokémon	Fire	41.9 lbs (19.0 kg)	Charmeleon
4	1. BlazeSolar Power (hidden ability)	5′07″ (1.7 m)	006 (Red/Blue/Yellow)231 (Gold/Silver/Crystal)006 (FireRed/LeafGreen)236 (HeartGold/SoulSilver)085 (X/Y — Central Kalos)	006	Flame Pokémon	Fire Flying	199.5 lbs (90.5 kg)	Charizard
5	1. TorrentRain Dish (hidden ability)	1′08″ (0.5 m)	007 (Red/Blue/Yellow)232 (Gold/Silver/Crystal)007 (FireRed/LeafGreen)237 (HeartGold/SoulSilver)086 (X/Y — Central Kalos)	007	Tiny Turtle Pokémon	Water	19.8 lbs (9.0 kg)	Squirtle
6	1. TorrentRain Dish (hidden ability)	3′03″ (1.0 m)	008 (Red/Blue/Yellow)233 (Gold/Silver/Crystal)008 (FireRed/LeafGreen)238 (HeartGold/SoulSilver)087 (X/Y — Central Kalos)	008	Turtle Pokémon	Water	49.6 lbs (22.5 kg)	Wartortle
7	1. TorrentRain Dish (hidden ability)	5′03″ (1.6 m)	009 (Red/Blue/Yellow)234 (Gold/Silver/Crystal)009 (FireRed/LeafGreen)239 (HeartGold/SoulSilver)088 (X/Y — Central Kalos)	009	Shellfish Pokémon	Water	188.5 lbs (85.5 kg)	Blastoise
8	1. Shield DustRun Away (hidden ability)	1′00″ (0.3 m)	010 (Red/Blue/Yellow)024 (Gold/Silver/Crystal)010 (FireRed/LeafGreen)024 (HeartGold/SoulSilver)023 (X/Y — Central Kalos)017 (Sun/Moon — Alola dex)017 (U.Sun/U.Moon — Alola dex)	010	Worm Pokémon	Bug	6.4 lbs (2.9 kg)	Caterpie
9	1. Shed Skin	2′04″ (0.7 m)	011 (Red/Blue/Yellow)025 (Gold/Silver/Crystal)011 (FireRed/LeafGreen)025 (HeartGold/SoulSilver)024 (X/Y — Central Kalos)018 (Sun/Moon — Alola dex)018 (U.Sun/U.Moon — Alola dex)	011	Cocoon Pokémon	Bug	21.8 lbs (9.9 kg)	Metapod
